unit_id,eng_whitespace_words,eng_utf8_bytes,eng_codepoints,hin_whitespace_words,hin_utf8_bytes,hin_codepoints,tam_whitespace_words,tam_utf8_bytes,tam_codepoints,kan_whitespace_words,kan_utf8_bytes,kan_codepoints
preamble,320,1994,1992,329,4745,1813,201,6292,2256,182,5452,1950
article_01,30,170,170,35,499,189,21,664,238,18,449,163
article_02,78,520,516,97,1324,514,62,1582,578,57,1367,503
article_03,12,67,67,12,186,70,5,213,75,6,174,62
article_04,21,113,113,23,309,119,17,493,177,11,334,120
article_05,16,95,95,21,261,101,11,325,117,10,257,93
article_06,13,76,76,18,231,89,8,275,97,8,254,90
article_07,39,252,252,52,663,257,26,841,299,28,707,255
article_08,27,166,166,27,410,154,19,608,216,17,483,173
article_09,11,66,66,14,192,74,13,450,160,7,173,63
article_10,33,199,199,42,560,214,19,695,245,20,590,210
article_11,92,510,510,100,1293,503,61,1956,698,49,1381,495
article_12,38,238,238,43,600,230,29,916,328,27,660,240
article_13,33,187,187,39,513,197,22,644,230,18,443,161
article_14,44,267,265,47,666,254,31,961,343,24,678,244
article_15,24,144,144,38,497,191,19,569,203,14,403,145
article_16,77,437,437,81,1107,425,49,1452,522,42,1126,408
article_17,24,137,137,29,352,136,15,487,173,12,334,120
article_18,47,294,294,55,754,290,36,1095,395,28,812,294
article_19,35,227,227,48,630,242,21,818,288,22,761,271
article_20,21,124,124,32,406,156,13,449,159,12,322,116
article_21,77,451,451,87,1176,450,56,1687,605,47,1296,466
article_22,52,343,341,56,882,332,38,1125,401,33,901,325
article_23,86,529,529,118,1559,601,61,1950,696,54,1422,516
article_24,19,124,124,27,378,144,12,351,127,11,305,109
article_25,82,520,518,101,1406,542,62,1756,634,63,1381,509
article_26,116,747,747,128,1872,712,82,2519,903,69,1905,687
article_27,54,325,325,56,820,312,33,1004,360,30,821,297
article_28,24,142,142,28,462,172,13,446,158,14,425,151
article_29,95,563,563,105,1666,626,58,2013,715,59,1601,577
article_30,41,224,224,55,702,272,28,896,318,23,718,256
