unit_id,lang,tokenizer,tokens,whitespace_words,utf8_bytes,codepoints,tok_per_word,tok_per_byte
preamble,eng,gpt2,355,320,1994,1992,1.109375,0.17803410230692077
preamble,eng,mbert,391,320,1994,1992,1.221875,0.19608826479438315
preamble,hin,gpt2,2823,329,4745,1813,8.580547112462007,0.5949420442571127
preamble,hin,mbert,611,329,4745,1813,1.8571428571428572,0.12876712328767123
preamble,tam,gpt2,6292,201,6292,2256,31.303482587064675,1.0
preamble,tam,mbert,931,201,6292,2256,4.6318407960199,0.14796567069294342
preamble,kan,gpt2,5358,182,5452,1950,29.439560439560438,0.9827586206896551
preamble,kan,mbert,974,182,5452,1950,5.351648351648351,0.17865003668378576
article_01,eng,gpt2,33,30,170,170,1.1,0.19411764705882353
article_01,eng,mbert,36,30,170,170,1.2,0.21176470588235294
article_01,hin,gpt2,296,35,499,189,8.457142857142857,0.593186372745491
article_01,hin,mbert,64,35,499,189,1.8285714285714285,0.1282565130260521
article_01,tam,gpt2,664,21,664,238,31.61904761904762,1.0
article_01,tam,mbert,97,21,664,238,4.619047619047619,0.1460843373493976
article_01,kan,gpt2,439,18,449,163,24.38888888888889,0.977728285077951
article_01,kan,mbert,69,18,449,163,3.8333333333333335,0.15367483296213807
article_02,eng,gpt2,101,78,520,516,1.294871794871795,0.19423076923076923
article_02,eng,mbert,104,78,520,516,1.3333333333333333,0.2
article_02,hin,gpt2,781,97,1324,514,8.051546391752577,0.5898791540785498
article_02,hin,mbert,168,97,1324,514,1.731958762886598,0.1268882175226586
article_02,tam,gpt2,1576,62,1582,578,25.419354838709676,0.9962073324905183
article_02,tam,mbert,225,62,1582,578,3.629032258064516,0.14222503160556257
article_02,kan,gpt2,1330,57,1367,503,23.333333333333332,0.9729334308705194
article_02,kan,mbert,246,57,1367,503,4.315789473684211,0.1799561082662765
article_03,eng,gpt2,14,12,67,67,1.1666666666666667,0.208955223880597
article_03,eng,mbert,16,12,67,67,1.3333333333333333,0.23880597014925373
article_03,hin,gpt2,113,12,186,70,9.416666666666666,0.6075268817204301
article_03,hin,mbert,22,12,186,70,1.8333333333333333,0.11827956989247312
article_03,tam,gpt2,213,5,213,75,42.6,1.0
article_03,tam,mbert,34,5,213,75,6.8,0.1596244131455399
article_03,kan,gpt2,173,6,174,62,28.833333333333332,0.9942528735632183
article_03,kan,mbert,32,6,174,62,5.333333333333333,0.1839080459770115
article_04,eng,gpt2,24,21,113,113,1.1428571428571428,0.21238938053097345
article_04,eng,mbert,24,21,113,113,1.1428571428571428,0.21238938053097345
article_04,hin,gpt2,178,23,309,119,7.739130434782608,0.5760517799352751
article_04,hin,mbert,47,23,309,119,2.0434782608695654,0.15210355987055016
article_04,tam,gpt2,493,17,493,177,29.0,1.0
article_04,tam,mbert,71,17,493,177,4.176470588235294,0.1440162271805274
article_04,kan,gpt2,323,11,334,120,29.363636363636363,0.9670658682634731
article_04,kan,mbert,59,11,334,120,5.363636363636363,0.17664670658682635
article_05,eng,gpt2,18,16,95,95,1.125,0.18947368421052632
article_05,eng,mbert,23,16,95,95,1.4375,0.24210526315789474
article_05,hin,gpt2,153,21,261,101,7.285714285714286,0.5862068965517241
article_05,hin,mbert,42,21,261,101,2.0,0.16091954022988506
article_05,tam,gpt2,325,11,325,117,29.545454545454547,1.0
article_05,tam,mbert,49,11,325,117,4.454545454545454,0.15076923076923077
article_05,kan,gpt2,248,10,257,93,24.8,0.9649805447470817
article_05,kan,mbert,54,10,257,93,5.4,0.21011673151750973
article_06,eng,gpt2,14,13,76,76,1.0769230769230769,0.18421052631578946
article_06,eng,mbert,16,13,76,76,1.2307692307692308,0.21052631578947367
article_06,hin,gpt2,140,18,231,89,7.777777777777778,0.6060606060606061
article_06,hin,mbert,27,18,231,89,1.5,0.11688311688311688
article_06,tam,gpt2,275,8,275,97,34.375,1.0
article_06,tam,mbert,34,8,275,97,4.25,0.12363636363636364
article_06,kan,gpt2,252,8,254,90,31.5,0.9921259842519685
article_06,kan,mbert,45,8,254,90,5.625,0.17716535433070865
article_07,eng,gpt2,42,39,252,252,1.0769230769230769,0.16666666666666666
article_07,eng,mbert,43,39,252,252,1.1025641025641026,0.17063492063492064
article_07,hin,gpt2,386,52,663,257,7.423076923076923,0.5822021116138764
article_07,hin,mbert,81,52,663,257,1.5576923076923077,0.12217194570135746
article_07,tam,gpt2,841,26,841,299,32.34615384615385,1.0
article_07,tam,mbert,122,26,841,299,4.6923076923076925,0.1450653983353151
article_07,kan,gpt2,694,28,707,255,24.785714285714285,0.9816124469589816
article_07,kan,mbert,124,28,707,255,4.428571428571429,0.1753889674681754
article_08,eng,gpt2,30,27,166,166,1.1111111111111112,0.18072289156626506
article_08,eng,mbert,34,27,166,166,1.2592592592592593,0.20481927710843373
article_08,hin,gpt2,240,27,410,154,8.88888888888889,0.5853658536585366
article_08,hin,mbert,47,27,410,154,1.7407407407407407,0.11463414634146342
article_08,tam,gpt2,608,19,608,216,32.0,1.0
article_08,tam,mbert,83,19,608,216,4.368421052631579,0.13651315789473684
article_08,kan,gpt2,474,17,483,173,27.88235294117647,0.9813664596273292
article_08,kan,mbert,74,17,483,173,4.352941176470588,0.15320910973084886
article_09,eng,gpt2,13,11,66,66,1.1818181818181819,0.19696969696969696
article_09,eng,mbert,17,11,66,66,1.5454545454545454,0.25757575757575757
article_09,hin,gpt2,114,14,192,74,8.142857142857142,0.59375
article_09,hin,mbert,28,14,192,74,2.0,0.14583333333333334
article_09,tam,gpt2,450,13,450,160,34.61538461538461,1.0
article_09,tam,mbert,67,13,450,160,5.153846153846154,0.14888888888888888
article_09,kan,gpt2,169,7,173,63,24.142857142857142,0.976878612716763
article_09,kan,mbert,32,7,173,63,4.571428571428571,0.18497109826589594
article_10,eng,gpt2,35,33,199,199,1.0606060606060606,0.17587939698492464
article_10,eng,mbert,38,33,199,199,1.1515151515151516,0.19095477386934673
article_10,hin,gpt2,336,42,560,214,8.0,0.6
article_10,hin,mbert,75,42,560,214,1.7857142857142858,0.13392857142857142
article_10,tam,gpt2,695,19,695,245,36.578947368421055,1.0
article_10,tam,mbert,98,19,695,245,5.157894736842105,0.1410071942446043
article_10,kan,gpt2,582,20,590,210,29.1,0.9864406779661017
article_10,kan,mbert,109,20,590,210,5.45,0.1847457627118644
article_11,eng,gpt2,97,92,510,510,1.0543478260869565,0.19019607843137254
article_11,eng,mbert,109,92,510,510,1.184782608695652,0.21372549019607842
article_11,hin,gpt2,751,100,1293,503,7.51,0.5808197989172467
article_11,hin,mbert,182,100,1293,503,1.82,0.14075792730085074
article_11,tam,gpt2,1956,61,1956,698,32.0655737704918,1.0
article_11,tam,mbert,286,61,1956,698,4.688524590163935,0.14621676891615543
article_11,kan,gpt2,1346,49,1381,495,27.46938775510204,0.9746560463432296
article_11,kan,mbert,235,49,1381,495,4.795918367346939,0.17016654598117306
article_12,eng,gpt2,43,38,238,238,1.131578947368421,0.18067226890756302
article_12,eng,mbert,48,38,238,238,1.263157894736842,0.20168067226890757
article_12,hin,gpt2,357,43,600,230,8.30232558139535,0.595
article_12,hin,mbert,80,43,600,230,1.8604651162790697,0.13333333333333333
article_12,tam,gpt2,916,29,916,328,31.586206896551722,1.0
article_12,tam,mbert,136,29,916,328,4.689655172413793,0.14847161572052403
article_12,kan,gpt2,651,27,660,240,24.11111111111111,0.9863636363636363
article_12,kan,mbert,122,27,660,240,4.518518518518518,0.18484848484848485
article_13,eng,gpt2,37,33,187,187,1.121212121212121,0.19786096256684493
article_13,eng,mbert,39,33,187,187,1.1818181818181819,0.20855614973262032
article_13,hin,gpt2,309,39,513,197,7.923076923076923,0.6023391812865497
article_13,hin,mbert,58,39,513,197,1.4871794871794872,0.11306042884990253
article_13,tam,gpt2,644,22,644,230,29.272727272727273,1.0
article_13,tam,mbert,87,22,644,230,3.9545454545454546,0.13509316770186336
article_13,kan,gpt2,440,18,443,161,24.444444444444443,0.9932279909706546
article_13,kan,mbert,82,18,443,161,4.555555555555555,0.18510158013544017
article_14,eng,gpt2,48,44,267,265,1.0909090909090908,0.1797752808988764
article_14,eng,mbert,59,44,267,265,1.3409090909090908,0.2209737827715356
article_14,hin,gpt2,400,47,666,254,8.51063829787234,0.6006006006006006
article_14,hin,mbert,82,47,666,254,1.7446808510638299,0.12312312312312312
article_14,tam,gpt2,961,31,961,343,31.0,1.0
article_14,tam,mbert,137,31,961,343,4.419354838709677,0.1425598335067638
article_14,kan,gpt2,669,24,678,244,27.875,0.9867256637168141
article_14,kan,mbert,118,24,678,244,4.916666666666667,0.17404129793510326
article_15,eng,gpt2,26,24,144,144,1.0833333333333333,0.18055555555555555
article_15,eng,mbert,32,24,144,144,1.3333333333333333,0.2222222222222222
article_15,hin,gpt2,289,38,497,191,7.605263157894737,0.5814889336016097
article_15,hin,mbert,65,38,497,191,1.7105263157894737,0.13078470824949698
article_15,tam,gpt2,569,19,569,203,29.94736842105263,1.0
article_15,tam,mbert,89,19,569,203,4.684210526315789,0.15641476274165203
article_15,kan,gpt2,392,14,403,145,28.0,0.9727047146401985
article_15,kan,mbert,66,14,403,145,4.714285714285714,0.16377171215880892
article_16,eng,gpt2,85,77,437,437,1.103896103896104,0.1945080091533181
article_16,eng,mbert,89,77,437,437,1.155844155844156,0.2036613272311213
article_16,hin,gpt2,649,81,1107,425,8.012345679012345,0.5862691960252936
article_16,hin,mbert,136,81,1107,425,1.6790123456790123,0.12285456187895212
article_16,tam,gpt2,1452,49,1452,522,29.632653061224488,1.0
article_16,tam,mbert,224,49,1452,522,4.571428571428571,0.15426997245179064
article_16,kan,gpt2,1102,42,1126,408,26.238095238095237,0.9786856127886323
article_16,kan,mbert,211,42,1126,408,5.023809523809524,0.18738898756660746
article_17,eng,gpt2,26,24,137,137,1.0833333333333333,0.1897810218978102
article_17,eng,mbert,32,24,137,137,1.3333333333333333,0.23357664233576642
article_17,hin,gpt2,211,29,352,136,7.275862068965517,0.5994318181818182
article_17,hin,mbert,50,29,352,136,1.7241379310344827,0.14204545454545456
article_17,tam,gpt2,487,15,487,173,32.46666666666667,1.0
article_17,tam,mbert,72,15,487,173,4.8,0.14784394250513347
article_17,kan,gpt2,327,12,334,120,27.25,0.9790419161676647
article_17,kan,mbert,61,12,334,120,5.083333333333333,0.18263473053892215
article_18,eng,gpt2,56,47,294,294,1.1914893617021276,0.19047619047619047
article_18,eng,mbert,58,47,294,294,1.2340425531914894,0.19727891156462585
article_18,hin,gpt2,444,55,754,290,8.072727272727272,0.5888594164456233
article_18,hin,mbert,86,55,754,290,1.5636363636363637,0.11405835543766578
article_18,tam,gpt2,1095,36,1095,395,30.416666666666668,1.0
article_18,tam,mbert,168,36,1095,395,4.666666666666667,0.15342465753424658
article_18,kan,gpt2,794,28,812,294,28.357142857142858,0.9778325123152709
article_18,kan,mbert,159,28,812,294,5.678571428571429,0.1958128078817734
article_19,eng,gpt2,39,35,227,227,1.1142857142857143,0.17180616740088106
article_19,eng,mbert,41,35,227,227,1.1714285714285715,0.18061674008810572
article_19,hin,gpt2,375,48,630,242,7.8125,0.5952380952380952
article_19,hin,mbert,76,48,630,242,1.5833333333333333,0.12063492063492064
article_19,tam,gpt2,818,21,818,288,38.95238095238095,1.0
article_19,tam,mbert,116,21,818,288,5.523809523809524,0.14180929095354522
article_19,kan,gpt2,748,22,761,271,34.0,0.9829172141918529
article_19,kan,mbert,152,22,761,271,6.909090909090909,0.19973718791064388
article_20,eng,gpt2,23,21,124,124,1.0952380952380953,0.18548387096774194
article_20,eng,mbert,27,21,124,124,1.2857142857142858,0.21774193548387097
article_20,hin,gpt2,240,32,406,156,7.5,0.5911330049261084
article_20,hin,mbert,38,32,406,156,1.1875,0.09359605911330049
article_20,tam,gpt2,449,13,449,159,34.53846153846154,1.0
article_20,tam,mbert,62,13,449,159,4.769230769230769,0.13808463251670378
article_20,kan,gpt2,317,12,322,116,26.416666666666668,0.984472049689441
article_20,kan,mbert,64,12,322,116,5.333333333333333,0.19875776397515527
article_21,eng,gpt2,83,77,451,451,1.077922077922078,0.18403547671840353
article_21,eng,mbert,88,77,451,451,1.1428571428571428,0.1951219512195122
article_21,hin,gpt2,696,87,1176,450,8.0,0.5918367346938775
article_21,hin,mbert,140,87,1176,450,1.6091954022988506,0.11904761904761904
article_21,tam,gpt2,1687,56,1687,605,30.125,1.0
article_21,tam,mbert,238,56,1687,605,4.25,0.14107883817427386
article_21,kan,gpt2,1265,47,1296,466,26.914893617021278,0.9760802469135802
article_21,kan,mbert,218,47,1296,466,4.638297872340425,0.16820987654320987
article_22,eng,gpt2,60,52,343,341,1.1538461538461537,0.1749271137026239
article_22,eng,mbert,66,52,343,341,1.2692307692307692,0.1924198250728863
article_22,hin,gpt2,530,56,882,332,9.464285714285714,0.6009070294784581
article_22,hin,mbert,91,56,882,332,1.625,0.10317460317460317
article_22,tam,gpt2,1125,38,1125,401,29.605263157894736,1.0
article_22,tam,mbert,152,38,1125,401,4.0,0.1351111111111111
article_22,kan,gpt2,884,33,901,325,26.78787878787879,0.9811320754716981
